num_prefill_tokens,num_decode_tokens,num_total_tokens,pd_ratio
2048, 1, 2049, 2048
2048, 1, 2049, 2048
2048, 1, 2049, 2048
2048, 1, 2049, 2048
2048, 1, 2049, 2048
2048, 1, 2049, 2048
2048, 1, 2049, 2048
2048, 1, 2049, 2048
2048, 1, 2049, 2048
2048, 1, 2049, 2048
2048, 1, 2049, 2048
2048, 1, 2049, 2048
2048, 1, 2049, 2048
2048, 1, 2049, 2048
2048, 1, 2049, 2048
2048, 1, 2049, 2048
2048, 1, 2049, 2048
2048, 1, 2049, 2048
2048, 1, 2049, 2048
2048, 1, 2049, 2048
2048, 1, 2049, 2048
2048, 1, 2049, 2048
2048, 1, 2049, 2048
2048, 1, 2049, 2048
2048, 1, 2049, 2048
2048, 1, 2049, 2048
2048, 1, 2049, 2048
2048, 1, 2049, 2048
2048, 1, 2049, 2048
2048, 1, 2049, 2048
2048, 1, 2049, 2048
2048, 1, 2049, 2048
2048, 1, 2049, 2048
2048, 1, 2049, 2048
2048, 1, 2049, 2048
2048, 1, 2049, 2048
2048, 1, 2049, 2048
2048, 1, 2049, 2048
2048, 1, 2049, 2048
2048, 1, 2049, 2048
2048, 1, 2049, 2048
2048, 1, 2049, 2048
2048, 1, 2049, 2048
2048, 1, 2049, 2048
2048, 1, 2049, 2048
2048, 1, 2049, 2048
2048, 1, 2049, 2048
2048, 1, 2049, 2048
2048, 1, 2049, 2048
2048, 1, 2049, 2048
2048, 1, 2049, 2048
2048, 1, 2049, 2048
2048, 1, 2049, 2048
2048, 1, 2049, 2048
2048, 1, 2049, 2048
2048, 1, 2049, 2048
2048, 1, 2049, 2048
2048, 1, 2049, 2048
2048, 1, 2049, 2048
2048, 1, 2049, 2048
2048, 1, 2049, 2048
2048, 1, 2049, 2048
2048, 1, 2049, 2048
2048, 1, 2049, 2048
2048, 1, 2049, 2048
2048, 1, 2049, 2048
2048, 1, 2049, 2048
2048, 1, 2049, 2048
2048, 1, 2049, 2048
2048, 1, 2049, 2048
2048, 1, 2049, 2048
2048, 1, 2049, 2048
2048, 1, 2049, 2048
2048, 1, 2049, 2048
2048, 1, 2049, 2048
2048, 1, 2049, 2048
2048, 1, 2049, 2048
2048, 1, 2049, 2048
2048, 1, 2049, 2048
2048, 1, 2049, 2048
2048, 1, 2049, 2048
2048, 1, 2049, 2048
2048, 1, 2049, 2048
2048, 1, 2049, 2048
2048, 1, 2049, 2048
2048, 1, 2049, 2048
2048, 1, 2049, 2048
2048, 1, 2049, 2048
2048, 1, 2049, 2048
2048, 1, 2049, 2048
2048, 1, 2049, 2048
2048, 1, 2049, 2048
2048, 1, 2049, 2048
2048, 1, 2049, 2048
2048, 1, 2049, 2048
2048, 1, 2049, 2048
2048, 1, 2049, 2048
2048, 1, 2049, 2048
2048, 1, 2049, 2048
2048, 1, 2049, 2048
2048, 1, 2049, 2048
2048, 1, 2049, 2048
2048, 1, 2049, 2048
2048, 1, 2049, 2048
2048, 1, 2049, 2048
2048, 1, 2049, 2048
2048, 1, 2049, 2048
2048, 1, 2049, 2048
1940, 0, 1940, 1e6
