num_prefill_tokens,num_decode_tokens,num_total_tokens,pd_ratio
512,1,513,512
512,1,513,512
512,1,513,512
512,1,513,512
512,1,513,512
512,1,513,512
512,1,513,512
512,1,513,512
512,1,513,512
512,1,513,512
512,1,513,512
512,1,513,512
512,1,513,512
512,1,513,512
512,1,513,512
512,1,513,512
512,1,513,512
512,1,513,512
512,1,513,512
512,1,513,512
512,1,513,512
512,1,513,512
512,1,513,512
512,1,513,512
512,1,513,512
512,1,513,512
512,1,513,512
512,1,513,512
512,1,513,512
512,1,513,512
512,1,513,512
512,1,513,512
512,1,513,512
512,1,513,512
512,1,513,512
512,1,513,512
512,1,513,512
512,1,513,512
512,1,513,512
512,1,513,512
512,1,513,512
512,1,513,512
512,1,513,512
512,1,513,512
512,1,513,512
512,1,513,512
512,1,513,512
512,1,513,512
512,1,513,512
512,1,513,512
512,1,513,512
512,1,513,512
512,1,513,512
512,1,513,512
512,1,513,512
512,1,513,512
512,1,513,512
512,1,513,512
512,1,513,512
512,1,513,512
512,1,513,512
512,1,513,512
512,1,513,512
512,1,513,512
448,0,448,1e6
